산 업 ,X1,X2,X3,X4,X5,X6
어업 ,0.02,0.16,-0.5,-1.35,7.83,5.75
광업 ,9.19,4.46,5.71,1.88,67.92,3.08
제조업 ,-1.81,-1.54,-3.91,-4.55,5.51,1.69
전기가스증기업 ,7.2,3.34,48.8,5.43,4,11.34
건설업,-6.08,-9.97,-5.42,-10.53,19.31,5.86
도매 및 소매업 ,3.57,7.78,1.26,2.24,7.5,-3.99
숙박업 ,0.3,-0.56,-0.98,16.03,1.4,10.26
운수업,-1.51,-5.93,5.95,-0.3,-5.26,5.16
통신업,5.83,0.03,16.77,-5.59,3.93,12.65
부동산 및 임대업,3.63,-0.64,16.1,19.28,2.54,3.79
사업서비스업 ,6.98,1.07,5,9.14,10,9.51
오락문화운동산업,10.97,8.81,1.05,-14.33,10.08,4.7
수출기업(제조업) ,-5.42,-5,-8.53,-11.42,-0.87,-3.95
내수기업(제조업),0.44,0.66,-1.23,-0.27,8.43,5.16
중화학공업(제조업),-2.3,-1.9,-4.86,-8.21,3.92,1.13
경공업(제조업),0,-0.05,-0.84,5.52,11.53,3.64
정보통신산업 ,0.19,-3.27,-1.64,-16.98,3.88,-3.23
정보통신기술산업 ,0.2,-3.54,-2.36,-17.8,3.66,-3.87
정보컨텐츠산업 ,-4.99,0.82,3.84,6.15,6.6,4.35
